ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20120001162,2012-01-16,12:45:00,6,Vehicle overturned (no collision),2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,140,2,0,0,1,1,2,2,1,Cross intersection,3,50,Local Road
T20120001161,2012-01-16,17:30:00,1,Collision with vehicle,2,Monday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,273336,2,0,0,1,1,2,2,5,Not at intersection,3,999,Arterial Other
T20120001160,2012-01-16,17:45:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE),1,53196,2,0,1,0,4,5,1,2,T intersection,2,60,Local Road
T20120001156,2012-01-16,16:40:00,4,Collision with a fixed object,2,Monday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,273335,1,0,1,0,0,1,1,5,Not at intersection,2,100,Freeway
T20120001150,2012-01-16,15:36:00,1,Collision with vehicle,1,Monday,130,REAR END(VEHICLES IN SAME LANE),1,609057,2,0,1,0,2,3,1,5,Not at intersection,2,110,Freeway
T20120001309,2012-01-16,15:55:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE),1,273341,3,0,0,1,4,5,1,5,Not at intersection,3,80,Freeway
T20130001817,2012-01-16,17:45:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE),1,35407,2,0,0,1,1,2,2,2,T intersection,3,999,Arterial Other
T20120001243,2012-01-16,09:20:00,1,Collision with vehicle,2,Monday,132,RIGHT REAR.,1,1323,2,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Other
T20120002776,2012-01-16,12:30:00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,249458,2,0,0,1,1,2,2,5,Not at intersection,3,60,Arterial Other
T20120001091,2012-01-16,01:17:00,2,Struck Pedestrian,2,Monday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,3,273338,1,1,1,0,5,7,1,5,Not at intersection,1,60,Arterial Other
T20120001166,2012-01-16,15:58:00,1,Collision with vehicle,2,Monday,132,RIGHT REAR.,1,251358,3,1,2,2,0,5,1,5,Not at intersection,1,80,Arterial Highway
T20120001159,2012-01-16,19:05:00,2,Struck Pedestrian,2,Monday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,41178,1,0,0,1,1,2,1,2,T intersection,3,50,Local Road
T20120001291,2012-01-16,15:20:00,8,No collision and no object struck,2,Monday,199,UNKNOWN-NO DETAILS ON MANOEUVRES OF ROAD-USERS IN ACCIDENT,1,273340,1,0,0,1,1,2,1,5,Not at intersection,3,80,Arterial Other
T20120009621,2012-01-17,19:25:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),2,273350,2,0,1,0,1,2,2,5,Not at intersection,2,999,Arterial Other
T20120001259,2012-01-17,05:50:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,249112,1,0,1,0,0,1,1,5,Not at intersection,2,70,Arterial Other
T20120001260,2012-01-17,18:05:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,36097,2,0,1,1,2,4,1,1,Cross intersection,2,50,Local Road
T20120001251,2012-01-17,19:45:00,1,Collision with vehicle,3,Tuesday,140,U TURN,1,252094,2,0,1,0,1,2,1,5,Not at intersection,2,100,Local Road
T20120001250,2012-01-17,18:30:00,1,Collision with vehicle,3,Tuesday,136,RIGHT TURN SIDESWIPE,1,65799,2,0,0,1,1,2,2,1,Cross intersection,3,60,Local Road
T20120014248,2012-01-17,18:00:00,2,Struck Pedestrian,3,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,49662,1,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Other
T20120001248,2012-01-17,17:01:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,36174,3,0,0,4,1,5,1,1,Cross intersection,3,60,Arterial Other
T20120001245,2012-01-17,16:00:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,37375,2,0,1,0,1,2,1,1,Cross intersection,2,50,Arterial Other
T20120005055,2012-01-17,20:00:00,1,Collision with vehicle,3,Tuesday,152,PULLING OUT (OVERTAKING),1,69503,2,0,0,1,1,2,2,2,T intersection,3,999,Local Road
T20120001216,2012-01-17,12:00:00,2,Struck Pedestrian,3,Tuesday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,36888,1,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road
T20120001312,2012-01-17,14:30:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,84,3,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Highway
T20120001215,2012-01-17,11:15:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,273345,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Highway
T20120001210,2012-01-17,11:02:00,2,Struck Pedestrian,3,Tuesday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,55059,1,0,0,1,1,2,1,2,T intersection,3,60,Local Road
T20120001197,2012-01-17,09:45:00,1,Collision with vehicle,3,Tuesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,273344,2,0,0,1,0,1,1,5,Not at intersection,3,50,Local Road
T20120001242,2012-01-17,17:00:00,4,Collision with a fixed object,3,Tuesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,273349,1,0,0,2,1,3,1,5,Not at intersection,3,100,Freeway
T20120001258,2012-01-17,03:42:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,900,1,0,1,0,0,1,1,1,Cross intersection,2,80,Arterial Highway
T20120001191,2012-01-17,09:10:00,2,Struck Pedestrian,3,Tuesday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,1129,1,0,0,1,1,2,1,2,T intersection,3,60,Arterial Highway
T20120001239,2012-01-17,17:45:00,1,Collision with vehicle,3,Tuesday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,39255,2,0,0,1,1,2,1,2,T intersection,3,70,Arterial Other
T20120001234,2012-01-17,16:30:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,43117,3,0,0,1,4,5,1,1,Cross intersection,3,80,Arterial Highway
T20120001183,2012-01-17,07:10:00,1,Collision with vehicle,3,Tuesday,119,OTHER ADJACENT (INTERSECTIONS ONLY),1,37516,2,0,0,1,2,3,1,1,Cross intersection,3,60,Local Road
T20120001185,2012-01-17,07:45:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,65712,2,0,1,0,1,2,1,2,T intersection,2,60,Arterial Other
T20120001588,2012-01-17,02:00:00,2,Struck Pedestrian,3,Tuesday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,6,73120,1,0,1,0,0,1,2,2,T intersection,2,999,Local Road
T20120001244,2012-01-17,17:00:00,1,Collision with vehicle,3,Tuesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,273347,2,0,0,1,4,5,1,5,Not at intersection,3,50,Arterial Other
T20120002912,2012-01-17,17:00:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,228,2,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Highway
T20120001231,2012-01-17,15:01:00,1,Collision with vehicle,3,Tuesday,136,RIGHT TURN SIDESWIPE,1,35751,2,0,1,0,1,2,1,1,Cross intersection,2,60,Local Road
T20120001356,2012-01-17,17:15:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,36609,2,0,0,1,1,2,1,2,T intersection,3,70,Arterial Other
T20120001364,2012-01-17,17:45:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,51054,2,0,0,1,1,2,2,1,Cross intersection,3,50,Arterial Highway
T20120001229,2012-01-17,15:45:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,51143,2,0,1,1,1,3,1,1,Cross intersection,2,100,Arterial Other
T20120001370,2012-01-17,17:50:00,1,Collision with vehicle,3,Tuesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,1,249040,2,0,0,1,2,3,2,5,Not at intersection,3,50,Local Road
T20120001227,2012-01-17,04:55:00,2,Struck Pedestrian,3,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,9,43441,1,0,0,1,1,2,1,1,Cross intersection,3,80,Arterial Highway
T20120001391,2012-01-17,07:45:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,40782,2,0,0,1,1,2,2,2,T intersection,3,60,Arterial Other
T20120001225,2012-01-17,14:50:00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),1,273346,4,0,0,2,2,4,1,5,Not at intersection,3,80,Arterial Other
T20120001223,2012-01-17,16:15:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,278926,2,0,0,1,2,3,1,4,Multiple intersection,3,70,Freeway
T20120001770,2012-01-17,16:50:00,1,Collision with vehicle,3,Tuesday,134,LANE CHANGE RIGHT (NOT OVERTAKING),1,251115,2,0,0,2,1,3,1,2,T intersection,3,60,Local Road
T20120001354,2012-01-18,13:45:00,6,Vehicle overturned (no collision),4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,273351,1,0,0,2,0,2,1,5,Not at intersection,3,100,Arterial Highway
T20120001293,2012-01-18,10:15:00,6,Vehicle overturned (no collision),4,Wednesday,170,OFF CARRIAGEWAY TO LEFT,1,251055,2,0,2,0,1,3,1,5,Not at intersection,2,60,Freeway
T20120001292,2012-01-18,14:10:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,41297,2,0,2,0,0,2,1,1,Cross intersection,2,40,Local Road
T20120001290,2012-01-18,11:41:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,972,1,0,1,0,0,1,1,1,Cross intersection,2,60,Arterial Other
T20120001289,2012-01-18,11:45:00,1,Collision with vehicle,4,Wednesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,60346,2,0,0,1,0,1,1,2,T intersection,3,50,Local Road
T20120001284,2012-01-18,09:00:00,6,Vehicle overturned (no collision),4,Wednesday,172,OFF CARRIAGEWAY TO RIGHT,1,249860,1,0,1,0,0,1,1,5,Not at intersection,2,100,Local Road
T20120001283,2012-01-18,11:45:00,4,Collision with a fixed object,4,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,273355,1,0,0,1,0,1,1,5,Not at intersection,3,60,Local Road
T20120001275,2012-01-18,06:55:00,1,Collision with vehicle,4,Wednesday,111,RIGHT FAR (INTERSECTIONS ONLY),1,50652,2,0,0,1,1,2,1,2,T intersection,3,50,Local Road
T20120001274,2012-01-18,06:25:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),2,278943,2,0,0,3,1,4,1,5,Not at intersection,3,100,
T20120001272,2012-01-18,08:50:00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,273354,1,0,0,1,0,1,1,5,Not at intersection,3,80,Arterial Highway
T20120001271,2012-01-18,09:05:00,1,Collision with vehicle,4,Wednesday,140,U TURN,1,273353,2,0,0,1,1,2,1,4,Multiple intersection,3,50,Arterial Highway
T20120001264,2012-01-18,02:50:00,1,Collision with vehicle,4,Wednesday,146,REVERSING INTO FIXED OBJECT/PARKED VEHICLE,3,71958,3,0,0,1,0,1,1,2,T intersection,3,50,Local Road
T20120014151,2012-01-18,16:00:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,43913,2,0,0,1,1,2,2,2,T intersection,3,999,Arterial Other
T20120001479,2012-01-18,17:00:00,2,Struck Pedestrian,4,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,35364,1,0,1,0,2,3,1,1,Cross intersection,2,30,Local Road
T20120001299,2012-01-18,13:45:00,1,Collision with vehicle,4,Wednesday,152,PULLING OUT (OVERTAKING),1,249123,2,0,0,1,1,2,1,5,Not at intersection,3,100,Arterial Other
T20120001382,2012-01-18,21:50:00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL,5,273352,1,0,0,1,0,1,1,5,Not at intersection,3,100,Local Road
T20120001378,2012-01-18,18:00:00,1,Collision with vehicle,4,Wednesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,249049,2,0,0,1,0,1,1,5,Not at intersection,3,50,Local Road
T20120001347,2012-01-18,09:30:00,4,Collision with a fixed object,4,Wednesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,249032,1,0,1,0,0,1,2,5,Not at intersection,2,100,Arterial Other
T20120001344,2012-01-18,11:50:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,38673,2,0,0,2,0,2,1,1,Cross intersection,3,60,Arterial Other
T20120024665,2012-01-18,09:10:00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,37865,1,0,1,0,0,1,1,1,Cross intersection,2,60,Arterial Highway
T20120001326,2012-01-18,18:50:00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,63919,1,0,1,0,0,1,1,1,Cross intersection,2,50,Local Road
T20120001323,2012-01-18,17:00:00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,249027,1,0,1,0,0,1,1,5,Not at intersection,2,50,Arterial Other
T20120001318,2012-01-18,16:00:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,41164,4,0,0,1,3,4,1,2,T intersection,3,60,Arterial Other
T20120001316,2012-01-18,17:15:00,1,Collision with vehicle,4,Wednesday,120,HEAD ON (NOT OVERTAKING),1,249125,2,0,0,1,1,2,1,5,Not at intersection,3,50,Local Road
T20120001314,2012-01-18,16:00:00,1,Collision with vehicle,4,Wednesday,132,RIGHT REAR.,1,41470,3,0,0,2,4,6,1,2,T intersection,3,60,Arterial Other
T20120001311,2012-01-18,16:40:00,1,Collision with vehicle,4,Wednesday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,273360,2,0,1,0,1,2,1,5,Not at intersection,2,80,Arterial Highway
T20120011819,2012-01-18,16:45:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,29446,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other
T20120001307,2012-01-18,09:20:00,1,Collision with vehicle,4,Wednesday,139,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,1,38785,2,0,0,1,1,2,2,2,T intersection,3,999,Arterial Other
T20120001306,2012-01-18,16:30:00,1,Collision with vehicle,4,Wednesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,249124,2,0,0,1,1,2,1,5,Not at intersection,3,888,Local Road
T20120001303,2012-01-18,15:00:00,8,No collision and no object struck,4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,51174,1,0,0,1,0,1,2,1,Cross intersection,3,60,Arterial Other
T20120001302,2012-01-18,15:50:00,1,Collision with vehicle,3,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,38524,2,0,0,1,2,3,1,4,Multiple intersection,3,50,Local Road
T20120001301,2012-01-18,13:20:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,249502,1,0,0,1,1,2,1,5,Not at intersection,3,50,Local Road
T20120001300,2012-01-18,14:45:00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,250192,1,1,2,0,0,3,1,5,Not at intersection,1,50,Local Road
T20120001298,2012-01-18,10:56:00,1,Collision with vehicle,4,Wednesday,140,U TURN,1,273359,2,0,1,0,1,2,1,5,Not at intersection,2,100,Arterial Other
T20120001296,2012-01-18,14:00:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,273358,1,0,1,2,1,4,1,5,Not at intersection,2,80,Freeway
T20120001444,2012-01-19,19:40:00,2,Struck Pedestrian,5,Thursday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,1,249072,1,0,1,0,1,2,1,5,Not at intersection,2,50,Local Road
T20120001361,2012-01-19,10:30:00,2,Struck Pedestrian,5,Thursday,105,PED WALKING AGAINST TRAFFIC.,1,273371,1,0,0,1,1,2,1,5,Not at intersection,3,60,Arterial Other
T20120001366,2012-01-19,12:05:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,38797,2,0,0,1,1,2,1,1,Cross intersection,3,50,Arterial Other
T20120002573,2012-01-19,15:00:00,1,Collision with vehicle,5,Thursday,145,REVERSING IN STREAM OF TRAFFIC,1,273372,2,0,0,1,1,2,2,5,Not at intersection,3,50,Local Road
T20120001408,2012-01-19,16:54:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,233796,2,0,2,0,1,3,1,1,Cross intersection,2,70,Local Road
T20120001410,2012-01-19,17:55:00,1,Collision with vehicle,5,Thursday,140,U TURN,1,36367,2,0,0,1,1,2,1,2,T intersection,3,50,Local Road
T20120001411,2012-01-19,16:50:00,2,Struck Pedestrian,4,Thursday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,273366,1,0,1,1,0,2,1,5,Not at intersection,2,60,Arterial Other
T20120001412,2012-01-19,18:00:00,2,Struck Pedestrian,5,Thursday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,29984,1,0,1,0,1,2,1,1,Cross intersection,2,60,Local Road
T20120001413,2012-01-19,19:00:00,1,Collision with vehicle,5,Thursday,116,LEFT NEAR (INTERSECTIONS ONLY),1,51258,2,0,1,1,0,2,1,1,Cross intersection,2,100,Arterial Highway
T20120001415,2012-01-19,17:35:00,1,Collision with vehicle,5,Thursday,120,HEAD ON (NOT OVERTAKING),1,249060,2,0,1,1,0,2,1,5,Not at intersection,2,100,Arterial Other
T20120001417,2012-01-19,20:17:00,4,Collision with a fixed object,5,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,249062,1,0,0,1,5,6,1,5,Not at intersection,3,40,Local Road
T20120001419,2012-01-19,17:46:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),3,249063,2,0,0,1,1,2,1,5,Not at intersection,3,60,Arterial Other
T20120001421,2012-01-19,22:40:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,3,36264,2,0,1,0,3,4,1,1,Cross intersection,2,60,Arterial Other
T20120001422,2012-01-19,22:05:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,3,29420,2,0,2,0,2,4,1,1,Cross intersection,2,60,Local Road
T20120001374,2012-01-19,13:50:00,1,Collision with vehicle,5,Thursday,132,RIGHT REAR.,1,44649,2,0,0,1,2,3,1,1,Cross intersection,3,60,Local Road
T20120001400,2012-01-19,18:40:00,1,Collision with vehicle,4,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,38089,2,0,1,0,1,2,1,1,Cross intersection,2,50,Local Road
T20120001371,2012-01-19,12:52:00,1,Collision with vehicle,5,Thursday,111,RIGHT FAR (INTERSECTIONS ONLY),1,237310,3,0,0,1,4,5,1,2,T intersection,3,100,
T20120003046,2012-01-19,09:20:00,1,Collision with vehicle,4,Thursday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,37911,2,0,1,0,1,2,2,1,Cross intersection,2,40,Arterial Other
T20120001372,2012-01-19,11:50:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,249041,2,0,1,0,1,2,1,2,T intersection,2,80,Arterial Highway
T20120002982,2012-01-19,22:00:00,6,Vehicle overturned (no collision),5,Thursday,172,OFF CARRIAGEWAY TO RIGHT,5,250838,1,0,2,0,0,2,1,5,Not at intersection,2,60,
T20120001399,2012-01-19,17:35:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,273369,4,0,0,1,3,4,1,5,Not at intersection,3,80,Freeway
T20120001481,2012-01-19,19:00:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,249094,3,0,0,4,2,6,2,5,Not at intersection,3,999,Arterial Other
T20120001343,2012-01-19,06:20:00,4,Collision with a fixed object,5,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,273368,1,0,0,1,0,1,1,5,Not at intersection,3,100,Freeway
T20120003465,2012-01-19,05:45:00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL,2,57648,1,0,0,1,0,1,2,2,T intersection,3,70,Arterial Other
T20120001395,2012-01-19,12:45:00,1,Collision with vehicle,5,Thursday,116,LEFT NEAR (INTERSECTIONS ONLY),1,40481,2,0,0,2,0,2,2,2,T intersection,3,60,Arterial Other
T20120001392,2012-01-19,15:00:00,1,Collision with vehicle,5,Thursday,116,LEFT NEAR (INTERSECTIONS ONLY),1,222523,2,0,0,1,1,2,1,1,Cross intersection,3,80,Arterial Highway
T20120001340,2012-01-19,01:30:00,1,Collision with vehicle,5,Thursday,119,OTHER ADJACENT (INTERSECTIONS ONLY),3,50183,3,0,1,1,1,3,1,2,T intersection,2,60,Arterial Highway
T20120001458,2012-01-19,09:50:00,4,Collision with a fixed object,5,Thursday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,273367,1,0,0,1,0,1,1,5,Not at intersection,3,80,Arterial Other
T20120001500,2012-01-19,14:30:00,2,Struck Pedestrian,5,Thursday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,40427,1,0,0,1,1,2,1,4,Multiple intersection,3,60,Arterial Other
T20120001859,2012-01-19,08:30:00,1,Collision with vehicle,5,Thursday,143,ENTERING PARKING,1,249294,3,0,0,1,2,3,2,5,Not at intersection,3,50,Local Road
T20120001390,2012-01-19,15:52:00,1,Collision with vehicle,5,Thursday,140,U TURN,1,36017,2,0,1,0,1,2,1,1,Cross intersection,2,50,Arterial Other
T20120004220,2012-01-19,12:00:00,2,Struck Pedestrian,5,Thursday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,1,41561,1,0,0,1,1,2,2,2,T intersection,3,999,Local Road
T20130007999,2012-01-19,13:15:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,64555,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road
T20120001407,2012-01-19,20:16:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),2,68136,3,0,0,1,3,4,1,2,T intersection,3,60,Local Road
T20120001339,2012-01-19,03:00:00,4,Collision with a fixed object,5,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,273361,1,0,1,1,0,2,1,5,Not at intersection,2,100,Local Road
T20120001643,2012-01-19,15:15:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,67434,2,0,1,0,2,3,1,1,Cross intersection,2,60,Local Road
T20120001438,2012-01-19,14:35:00,6,Vehicle overturned (no collision),5,Thursday,182,OFF CARRIAGEWAY ON LEFT BEND,1,59246,1,0,1,0,0,1,1,2,T intersection,2,80,Arterial Highway
T20120001401,2012-01-19,17:20:00,7,Fall from or in moving vehicle,5,Thursday,190,FELL IN/FROM VEHICLE,1,273365,1,0,1,0,3,4,1,5,Not at intersection,2,110,Freeway
T20120001773,2012-01-19,18:30:00,4,Collision with a fixed object,5,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,249179,1,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Other
T20120001357,2012-01-19,09:53:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,273363,3,0,0,1,2,3,1,5,Not at intersection,3,80,Freeway
T20120001355,2012-01-19,09:25:00,4,Collision with a fixed object,5,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,273362,1,0,1,3,0,4,1,5,Not at intersection,2,110,Freeway
T20120014655,2012-01-19,08:57:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,253002,3,0,0,1,2,3,1,5,Not at intersection,3,60,Arterial Other
T20120002420,2012-01-19,12:30:00,8,No collision and no object struck,5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,273370,1,0,1,0,0,1,2,5,Not at intersection,2,100,Arterial Other
T20120001531,2012-01-19,13:30:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,29855,2,0,1,0,3,4,1,4,Multiple intersection,2,70,Arterial Highway
T20120001463,2012-01-19,18:00:00,8,No collision and no object struck,5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),2,35297,2,0,0,1,1,2,1,1,Cross intersection,3,40,Arterial Other
T20120001488,2012-01-20,17:25:00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,249096,1,0,0,3,0,3,1,5,Not at intersection,3,80,Arterial Other
T20120001489,2012-01-20,18:30:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,57518,2,0,0,1,3,4,1,1,Cross intersection,3,70,Arterial Highway
T20120001429,2012-01-20,08:19:00,8,No collision and no object struck,6,Friday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,273391,1,0,1,0,0,1,2,5,Not at intersection,2,999,Local Road
T20120001431,2012-01-20,07:30:00,1,Collision with vehicle,6,Friday,119,OTHER ADJACENT (INTERSECTIONS ONLY),1,1060,2,0,1,0,1,2,1,2,T intersection,2,50,Arterial Highway
T20120001435,2012-01-20,08:20:00,1,Collision with vehicle,6,Friday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,38999,2,0,1,0,1,2,1,2,T intersection,2,60,Arterial Other
