ACCIDENT_NO,PERSON_ID,VEHICLE_ID,SEX,AGE_GROUP,INJ_LEVEL,INJ_LEVEL_DESC,SEATING_POSITION,HELMET_BELT_WORN,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,LICENCE_STATE,TAKEN_HOSPITAL,EJECTED_CODE
T20220007947,B,B,M,50-59,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20220007947,A,A,F,70+,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20230027850,01,,F,22-25,3,Other injury,,8.0,1,Pedestrians,,,0.0
T20220006540,A,A,F,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230014191,B,B,F,70+,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20240014973,B,B,M,30-39,3,Other injury,D,9.0,9,Not Known,,,2.0
T20230008572,A,A,U,Unknown,4,Not injured,NK,9.0,9,Not Known,Z,,9.0
T20230028012,A,A,F,65-69,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20230010269,B,B,U,Unknown,4,Not injured,NK,9.0,9,Not Known,Z,,9.0
T20230005195,A,A,F,40-49,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20230003871,A,A,F,18-21,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20230003871,B,B,M,70+,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20210023579,B,B,M,50-59,2,Serious injury,D,6.0,6,Bicyclists,,Y,1.0
T20240012066,B,B,M,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230030504,B,B,M,22-25,4,Not injured,D,9.0,2,Drivers,V,,9.0
T20230030504,A,A,F,30-39,4,Not injured,D,1.0,2,Drivers,V,,9.0
T20230030504,01,A,F,60-64,3,Other injury,LF,9.0,3,Passengers,,N,9.0
T20200023426,C,C,U,Unknown,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20240009732,A,A,F,30-39,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20230019373,A,A,M,30-39,3,Other injury,D,6.0,6,Bicyclists,V,N,1.0
T20230011973,A,A,M,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230017879,B,B,F,40-49,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20230017879,A,A,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230018649,A,A,F,22-25,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20230024796,A,A,M,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230030366,B,B,M,40-49,3,Other injury,D,6.0,6,Bicyclists,V,,1.0
T20230030366,A,A,M,70+,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20200005135,01,,M,40-49,3,Other injury,,8.0,1,Pedestrians,,N,0.0
T20230027644,A,A,F,30-39,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20240002730,A,A,M,26-29,3,Other injury,D,6.0,4,Motorcyclists,V,N,1.0
T20230019373,B,B,M,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20240014653,A,A,M,26-29,3,Other injury,D,9.0,4,Motorcyclists,V,N,1.0
T20230018006,A,A,M,26-29,3,Other injury,D,6.0,4,Motorcyclists,V,,1.0
T20210010807,A,A,F,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20240002730,B,B,U,Unknown,4,Not injured,NK,9.0,9,Not Known,Z,,
T20190008725,B,B,M,40-49,1,Fatality,D,6.0,4,Motorcyclists,V,,1.0
T20240008133,A,A,M,26-29,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20230020721,A,A,M,40-49,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20230007723,04,A,M,30-39,3,Other injury,LF,1.0,3,Passengers,,N,0.0
T20240005720,B,B,M,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230027060,A,A,M,70+,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20240002983,A,A,F,65-69,3,Other injury,D,1.0,2,Drivers,Z,,0.0
T20240002983,B,B,M,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20200003729,A,A,M,30-39,3,Other injury,D,9.0,2,Drivers,V,,
T20200010731,A,A,F,50-59,4,Not injured,D,9.0,2,Drivers,V,,
T20200010731,B,B,M,18-21,3,Other injury,D,9.0,6,Bicyclists,,,
T20200017575,02,,F,50-59,2,Serious injury,,8.0,1,Pedestrians,V,Y,0.0
T20200014135,01,B,U,Unknown,4,Not injured,NK,9.0,9,Not Known,,,9.0
T20200014135,A,A,M,40-49,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20200014135,B,B,M,Unknown,4,Not injured,D,9.0,2,Drivers,Z,,0.0
T20190007779,01,A,M,18-21,4,Not injured,LR,1.0,3,Passengers,,,0.0
T20190007779,02,B,M,40-49,3,Other injury,OR,6.0,9,Not Known,,N,1.0
T20190007779,A,A,F,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20180012857,A,A,M,40-49,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20230016844,01,,F,22-25,3,Other injury,,8.0,1,Pedestrians,,N,0.0
T20210009206,A,A,M,30-39,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20190022310,A,A,M,26-29,2,Serious injury,D,6.0,4,Motorcyclists,V,Y,2.0
T20200015740,A,A,M,40-49,3,Other injury,D,6.0,6,Bicyclists,,,
T20120020922,B,B,M,50-59,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20230010984,01,A,M,40-49,3,Other injury,LF,9.0,3,Passengers,,,0.0
T20200022209,A,A,M,60-64,3,Other injury,D,1.0,2,Drivers,Z,,
T20200022209,B,B,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,
T20230010801,A,A,F,30-39,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20230020766,B,B,,Unknown,4,Not injured,D,9.0,2,Drivers,,,
T20230005400,A,A,M,26-29,3,Other injury,D,6.0,4,Motorcyclists,V,,2.0
T20230005400,B,B,F,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230019423,02,A,F,5-12,4,Not injured,OR,9.0,3,Passengers,,,0.0
T20200022836,01,,F,70+,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20200022836,A,A,M,70+,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20120022107,A,A,M,50-59,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20200020691,A,A,F,30-39,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20200020691,B,B,F,30-39,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20200021610,A,A,F,40-49,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20200021610,B,B,F,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20180006315,01,A,M,5-12,3,Other injury,RR,1.0,3,Passengers,,,0.0
T20180006315,A,A,F,30-39,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20120022107,B,B,M,40-49,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20230021793,02,B,U,Unknown,4,Not injured,D,9.0,2,Drivers,,,0.0
T20240016417,B,B,M,22-25,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20200006028,A,A,M,18-21,3,Other injury,D,2.0,2,Drivers,Z,N,0.0
T20240012620,B,B,M,50-59,1,Fatality,D,9.0,4,Motorcyclists,V,,1.0
T20190012135,A,A,M,50-59,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20230016582,B,B,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20210021906,A,A,F,30-39,3,Other injury,D,9.0,2,Drivers,V,,
T20240013681,01,C,M,18-21,2,Serious injury,LF,1.0,3,Passengers,,Y,0.0
T20240007776,B,B,F,30-39,3,Other injury,D,7.0,6,Bicyclists,V,N,1.0
T20210022555,A,A,M,40-49,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20230012647,A,A,M,40-49,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20230017749,01,A,M,13-15,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20240008494,02,C,M,40-49,3,Other injury,D,9.0,16,E-scooter Rider,,N,1.0
T20240008494,A,A,M,18-21,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20230021674,02,A,M,50-59,3,Other injury,RR,1.0,3,Passengers,,,0.0
T20230021674,A,A,M,50-59,4,Not injured,D,1.0,2,Drivers,Q,,0.0
T20220015417,02,A,M,18-21,2,Serious injury,RR,1.0,3,Passengers,,Y,0.0
T20220015417,A,A,M,26-29,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20220015417,01,A,M,22-25,2,Serious injury,LF,1.0,3,Passengers,,Y,0.0
T20220017562,01,A,M,16-17,1,Fatality,LF,2.0,3,Passengers,,N,1.0
T20220017562,A,A,M,18-21,1,Fatality,D,2.0,2,Drivers,V,N,3.0
T20230008288,A,A,M,50-59,3,Other injury,D,6.0,4,Motorcyclists,V,N,1.0
T20230008288,B,B,F,65-69,4,Not injured,D,8.0,2,Drivers,V,,0.0
T20210022382,B,B,M,40-49,3,Other injury,D,9.0,2,Drivers,V,,
T20230023093,04,E,M,70+,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20230023093,A,A,M,22-25,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20230015418,B,B,M,22-25,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20190000556,A,A,U,22-25,2,Serious injury,D,6.0,4,Motorcyclists,Z,Y,1.0
T20200011825,01,,M,70+,3,Other injury,,8.0,1,Pedestrians,,,0.0
T20200013074,01,B,M,30-39,2,Serious injury,LF,1.0,3,Passengers,,Y,0.0
T20230021598,A,A,M,70+,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20170003049,B,B,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20170003049,01,A,F,40-49,2,Serious injury,LF,1.0,3,Passengers,,Y,0.0
T20170003049,03,A,M,5-12,3,Other injury,OR,1.0,3,Passengers,,N,0.0
T20190021927,B,B,M,22-25,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190018861,B,B,M,50-59,4,Not injured,D,9.0,2,Drivers,Z,N,0.0
T20190018861,A,A,F,50-59,3,Other injury,D,1.0,2,Drivers,S,N,0.0
T20170024242,A,A,F,18-21,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20170024242,01,A,F,40-49,2,Serious injury,LF,1.0,3,Passengers,,Y,0.0
T20170024242,B,B,M,50-59,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20200000953,C,C,M,50-59,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20220024019,B,B,M,30-39,3,Other injury,D,6.0,6,Bicyclists,V,,1.0
T20220010989,02,B,F,50-59,3,Other injury,LF,1.0,3,Passengers,,N,0.0
T20180021822,B,B,F,18-21,2,Serious injury,D,6.0,6,Bicyclists,,Y,9.0
T20190011990,B,B,M,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190011990,A,A,M,30-39,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20170014640,A,A,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20170014640,B,B,M,70+,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20170022385,B,B,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20170022385,A,A,M,13-15,2,Serious injury,D,6.0,6,Bicyclists,,Y,1.0
T20190015571,A,A,F,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230017592,B,B,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20160010834,B,B,M,65-69,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20160010834,A,A,M,30-39,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20170015343,A,A,M,26-29,4,Not injured,D,1.0,2,Drivers,O,,
T20230028671,B,B,M,70+,2,Serious injury,D,6.0,6,Bicyclists,,Y,2.0
T20160014206,01,,F,26-29,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20180006188,B,B,M,50-59,4,Not injured,D,1.0,2,Drivers,V,,
T20170015484,B,B,M,40-49,3,Other injury,D,9.0,2,Drivers,V,N,0.0
T20200010481,04,B,U,0-4,4,Not injured,OR,9.0,3,Passengers,,,0.0
T20200005535,A,A,M,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20210012788,C,C,F,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20200003919,01,B,F,5-12,3,Other injury,OR,1.0,3,Passengers,,N,0.0
T20170012169,01,B,M,16-17,4,Not injured,LF,8.0,3,Passengers,,,0.0
T20190021215,A,A,M,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190021215,B,B,F,18-21,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20220029340,03,A,M,5-12,4,Not injured,LR,9.0,3,Passengers,,,0.0
T20180004665,02,A,F,16-17,3,Other injury,LR,1.0,3,Passengers,,N,0.0
T20170022612,A,A,M,26-29,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20150015612,A,A,F,50-59,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20150015612,B,B,M,40-49,4,Not injured,D,9.0,2,Drivers,N,,0.0
T20200020757,A,A,M,26-29,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20210008376,A,A,F,70+,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190024425,A,A,F,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190014518,B,B,M,18-21,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20200020757,B,B,M,26-29,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20210016613,A,A,M,50-59,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20210024816,04,B,M,5-12,4,Not injured,CR,1.0,3,Passengers,,,0.0
T20210020939,A,A,M,50-59,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20190016214,B,B,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,
T20190016214,A,A,M,50-59,3,Other injury,D,1.0,2,Drivers,V,,
T20190016214,01,A,F,40-49,4,Not injured,LF,1.0,3,Passengers,,,
T20160020594,01,B,F,50-59,3,Other injury,LF,1.0,3,Passengers,,,0.0
T20230012450,B,B,F,30-39,3,Other injury,D,1.0,2,Drivers,Z,N,0.0
T20180014550,B,B,M,26-29,2,Serious injury,D,8.0,6,Bicyclists,,Y,1.0
T20200017025,C,C,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190018243,A,A,M,30-39,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20190021051,01,A,F,60-64,3,Other injury,LF,1.0,3,Passengers,,,0.0
T20190023247,A,A,F,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190009356,A,A,M,22-25,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20170008102,B,B,M,70+,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190015839,01,A,F,Unknown,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20190017030,B,B,F,50-59,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20160010207,01,,F,22-25,3,Other injury,,8.0,1,Pedestrians,,,0.0
T20190004760,B,B,U,Unknown,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20200020282,A,A,M,30-39,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20240004197,B,B,M,50-59,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20220015346,B,B,F,26-29,2,Serious injury,D,7.0,6,Bicyclists,,Y,1.0
T20210019634,A,A,F,26-29,3,Other injury,D,9.0,2,Drivers,V,,0.0
T20190019207,A,A,M,30-39,3,Other injury,D,9.0,2,Drivers,V,,
T20200011938,A,A,M,26-29,3,Other injury,D,1.0,2,Drivers,Q,,0.0
T20160003625,B,B,M,30-39,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20190014208,B,B,F,22-25,4,Not injured,D,1.0,2,Drivers,V,,
T20200017415,A,A,M,26-29,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20230014993,B,B,F,30-39,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20230014993,02,B,F,0-4,4,Not injured,OR,3.0,3,Passengers,,,0.0
T20230018230,01,,M,40-49,3,Other injury,,8.0,1,Pedestrians,,,0.0
T20220001046,01,,F,60-64,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20230007723,02,A,F,26-29,3,Other injury,LR,1.0,3,Passengers,,,0.0
T20230024796,B,B,M,30-39,2,Serious injury,D,6.0,4,Motorcyclists,V,Y,1.0
T20220000722,01,A,F,65-69,2,Serious injury,RR,1.0,3,Passengers,,Y,0.0
T20240005685,A,A,F,22-25,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20240005685,B,B,F,30-39,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20230030273,01,,M,13-15,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20230030273,A,A,M,65-69,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230030351,A,A,F,70+,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20230007243,B,B,M,18-21,2,Serious injury,D,8.0,4,Motorcyclists,Z,Y,1.0
T20230011049,A,A,F,30-39,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20240005685,C,C,M,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20240006059,B,B,M,50-59,2,Serious injury,D,6.0,6,Bicyclists,V,Y,1.0
T20230020570,01,A,F,Unknown,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20220000722,A,A,M,70+,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20200022190,02,,F,30-39,1,Fatality,,8.0,1,Pedestrians,,Y,0.0
T20220000722,02,A,F,0-4,4,Not injured,LR,3.0,3,Passengers,,,0.0
T20230030351,B,B,M,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230030351,01,B,F,0-4,4,Not injured,OR,3.0,3,Passengers,,,0.0
T20240015697,A,A,M,22-25,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20240004116,A,A,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20240014845,A,A,M,30-39,3,Other injury,D,9.0,6,Bicyclists,,N,2.0
T20230023879,A,A,F,70+,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20240011938,B,B,M,30-39,4,Not injured,D,9.0,2,Drivers,V,,
T20240011938,02,B,M,0-4,3,Other injury,LR,9.0,3,Passengers,,,
T20210003252,01,A,M,65-69,2,Serious injury,LR,9.0,3,Passengers,,Y,
T20210017168,03,A,M,0-4,4,Not injured,LR,3.0,3,Passengers,,,
T20230023549,A,A,F,26-29,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20230023549,B,B,F,50-59,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20210017168,B,B,M,30-39,4,Not injured,D,9.0,2,Drivers,V,,
T20190008965,A,A,M,22-25,4,Not injured,D,1.0,2,Drivers,V,,
T20220008073,A,A,M,26-29,2,Serious injury,D,1.0,2,Drivers,O,Y,0.0
T20220008073,B,B,M,50-59,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230029895,A,A,F,22-25,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20230029895,B,B,M,22-25,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20230016595,A,A,F,70+,1,Fatality,D,1.0,2,Drivers,V,Y,0.0
T20210015739,A,A,F,60-64,3,Other injury,D,9.0,2,Drivers,V,N,0.0
T20230023476,A,A,M,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230023476,07,B,F,50-59,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20190021225,01,B,F,30-39,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20190021225,02,B,F,0-4,4,Not injured,OR,3.0,3,Passengers,,,0.0
T20230022306,A,A,M,50-59,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20190021225,A,A,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20190021225,B,B,M,30-39,2,Serious injury,D,1.0,2,Drivers,V,Y,9.0
T20210022183,A,A,M,30-39,4,Not injured,D,9.0,2,Drivers,V,,
T20190008478,B,B,M,18-21,1,Fatality,D,1.0,2,Drivers,Z,,0.0
T20230013741,C,C,U,Unknown,4,Not injured,NK,9.0,2,Drivers,Z,,9.0
T20190010952,B,B,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20220015792,01,A,M,18-21,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20220015792,B,B,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20220015792,02,B,M,26-29,4,Not injured,LF,1.0,3,Passengers,,,0.0
T20220015792,C,C,F,40-49,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20220015792,D,D,M,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20220015792,A,A,M,18-21,4,Not injured,D,1.0,2,Drivers,O,,0.0
T20240008751,B,B,M,30-39,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20220023428,01,A,F,30-39,3,Other injury,LF,1.0,3,Passengers,,,0.0
T20220023428,B,B,M,26-29,2,Serious injury,D,1.0,2,Drivers,O,Y,0.0
T20220023428,A,A,M,30-39,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20190008965,C,C,M,40-49,4,Not injured,D,1.0,2,Drivers,V,,
T20230001486,01,A,F,30-39,3,Other injury,LF,1.0,3,Passengers,,,0.0
T20210012312,01,,F,18-21,3,Other injury,,8.0,1,Pedestrians,,N,0.0
T20210012312,A,A,M,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20210017384,A,A,M,40-49,3,Other injury,D,9.0,6,Bicyclists,,,
T20240000779,01,,M,5-12,3,Other injury,,8.0,1,Pedestrians,,N,0.0
T20240010458,A,A,M,5-12,3,Other injury,D,6.0,4,Motorcyclists,Z,N,1.0
T20170003049,04,A,M,5-12,4,Not injured,OR,1.0,3,Passengers,,,0.0
T20170003049,A,A,M,40-49,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20170003049,05,A,F,5-12,4,Not injured,OR,1.0,3,Passengers,,,0.0
T20220027512,A,A,M,50-59,2,Serious injury,D,6.0,4,Motorcyclists,V,Y,1.0
T20230001205,A,A,F,22-25,3,Other injury,D,1.0,2,Drivers,V,,
T20230001205,B,B,U,Unknown,4,Not injured,NK,9.0,9,Not Known,Z,,9.0
T20220027835,A,A,M,60-64,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20220027835,B,B,M,18-21,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20220019078,A,A,M,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20220019078,B,B,M,30-39,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20190002203,B,B,M,65-69,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20240008081,A,A,M,70+,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20240008081,02,,F,65-69,2,Serious injury,,8.0,1,Pedestrians,,Y,0.0
T20220018523,A,A,M,40-49,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20220018523,B,B,F,70+,3,Other injury,D,9.0,2,Drivers,V,,3.0
T20240005877,01,,F,65-69,3,Other injury,,8.0,1,Pedestrians,,,0.0
T20240005877,A,A,U,Unknown,4,Not injured,NK,9.0,2,Drivers,Z,,9.0
T20240004347,01,A,M,18-21,2,Serious injury,LF,1.0,3,Passengers,,Y,0.0
T20240004347,A,A,M,30-39,2,Serious injury,D,1.0,2,Drivers,V,Y,0.0
T20240004347,B,B,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20240003332,B,B,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20170002914,01,B,M,22-25,2,Serious injury,LF,1.0,3,Passengers,,Y,
T20170002914,A,A,F,50-59,4,Not injured,D,1.0,2,Drivers,V,,
T20170002914,B,B,M,22-25,3,Other injury,D,2.0,2,Drivers,V,,
T20170002914,C,C,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,
T20170002914,D,D,U,Unknown,3,Other injury,D,1.0,2,Drivers,Z,N,
T20190012001,A,A,U,Unknown,2,Serious injury,D,6.0,4,Motorcyclists,V,Y,1.0
T20170013493,B,B,U,Unknown,2,Serious injury,D,6.0,4,Motorcyclists,Z,N,2.0
T20170013493,C,C,F,40-49,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20170013493,A,A,F,60-64,4,Not injured,D,8.0,2,Drivers,V,,0.0
T20220025817,A,A,F,22-25,4,Not injured,D,9.0,2,Drivers,V,,0.0
T20220025817,B,B,F,30-39,3,Other injury,D,6.0,6,Bicyclists,V,,1.0
T20170011511,A,A,U,Unknown,3,Other injury,D,9.0,2,Drivers,Z,N,0.0
T20220017549,C,C,U,Unknown,4,Not injured,NK,9.0,2,Drivers,Z,,9.0
T20220017549,B,B,F,18-21,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20220017549,A,A,M,65-69,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20190008004,A,A,M,30-39,4,Not injured,D,1.0,2,Drivers,Z,,0.0
T20190008004,B,B,U,22-25,2,Serious injury,D,6.0,4,Motorcyclists,O,Y,1.0
T20240007699,B,B,M,30-39,2,Serious injury,D,6.0,6,Bicyclists,V,Y,1.0
T20240007699,A,A,M,70+,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20170016181,A,A,U,Unknown,2,Serious injury,D,6.0,4,Motorcyclists,Z,Y,1.0
T20170016181,B,B,M,50-59,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20180002622,B,B,U,Unknown,2,Serious injury,D,6.0,4,Motorcyclists,Z,Y,9.0
T20180002622,A,A,M,70+,4,Not injured,D,9.0,2,Drivers,V,,9.0
T20220017503,01,A,F,5-12,4,Not injured,OR,3.0,3,Passengers,,,
T20190007419,03,B,F,26-29,2,Serious injury,RR,1.0,3,Passengers,,Y,0.0
T20190007419,A,A,M,22-25,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20190007419,B,B,F,40-49,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20190007419,01,B,U,18-21,3,Other injury,LF,1.0,3,Passengers,,N,0.0
T20190007419,02,B,U,5-12,3,Other injury,LR,1.0,3,Passengers,,N,0.0
T20210004362,A,A,F,50-59,2,Serious injury,D,9.0,2,Drivers,V,Y,0.0
T20210004362,B,B,F,22-25,4,Not injured,D,9.0,2,Drivers,V,,9.0
T20230020800,A,A,M,26-29,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20200013045,A,A,U,Unknown,4,Not injured,NK,9.0,7,Drivers,Z,,9.0
T20230010477,01,,M,40-49,3,Other injury,,8.0,1,Pedestrians,,,0.0
T20230010477,A,A,M,30-39,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230011688,B,B,U,Unknown,4,Not injured,D,9.0,2,Drivers,Z,,9.0
T20230011688,A,A,M,26-29,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20230010434,B,B,M,65-69,3,Other injury,D,9.0,6,Bicyclists,,,0.0
T20230010434,A,A,M,40-49,3,Other injury,D,1.0,2,Drivers,V,,0.0
T20230011018,A,A,M,70+,3,Other injury,D,1.0,2,Drivers,V,N,0.0
T20230011018,B,B,M,65-69,4,Not injured,D,1.0,2,Drivers,V,,0.0
T20230012714,A,A,M,40-49,3,Other injury,D,6.0,4,Motorcyclists,V,,1.0
T20230009208,A,A,M,26-29,3,Other injury,D,6.0,6,Bicyclists,V,N,1.0
T20230009208,B,B,U,Unknown,4,Not injured,NK,9.0,2,Drivers,Z,,9.0
T20230009868,B,B,M,26-29,4,Not injured,D,9.0,2,Drivers,V,,0.0
